ID,Semana,Persona,Area,Modulo,Tarea,Horas,HorasManual,Prioridad,Estado,Inicio,Fin,Dias,HorasReales,Desvio,IssueIID,GitLabURL,Evidencia,Actualizado,RolOriginal,Sprint,Tema,Submodulo
M42-FE,,,,payment-requests,Crear página dedicada para payment-requests,16,16,ALTA,COMPLETADO,,,,,,210,https://gitlab.com/underworf1/solmios/-/work_items/210,"frontend/src/pages/payments/index.vue:1 (ruta router:378, sidebar:254) — pagina dedicada usable",,FE1,1,COMPLETAR MÓDULOS PARTIAL,Frontend
M43-FE,,,,ai-gerente,Crear página frontend para AI Gerente,20,20,ALTA,PENDIENTE,,,,,,303,https://gitlab.com/underworf1/solmios/-/work_items/303,,,FE1,1,COMPLETAR MÓDULOS PARTIAL,Frontend
M43-SVC,,,,ai-gerente,Crear AiGerente.service.ts en frontend,8,8,ALTA,PENDIENTE,,,,,,304,https://gitlab.com/underworf1/solmios/-/work_items/304,,,FE2,1,COMPLETAR MÓDULOS PARTIAL,Service
M44-FE,,,,marketing,Crear página frontend para Marketing,16,16,ALTA,COMPLETADO,,,,,,211,https://gitlab.com/underworf1/solmios/-/work_items/211,frontend/src/pages/ (pagina Marketing existe; issue cerrado en GitLab),,FE1,1,COMPLETAR MÓDULOS PARTIAL,Frontend
M44-SVC,,,,marketing,Crear Marketing.service.ts en frontend,8,8,ALTA,COMPLETADO,,,,,,213,https://gitlab.com/underworf1/solmios/-/work_items/213,"frontend/src/services/Marketing.service.ts:15 — service real; CAVEAT: huerfano, ninguna pagina lo importa aun",,FE2,1,COMPLETAR MÓDULOS PARTIAL,Service
M45-SVC,,,,auditlog,Crear AuditLog.service.ts dedicado (hoy en super-admin),4,4,ALTA,COMPLETADO,,,,,,215,https://gitlab.com/underworf1/solmios/-/work_items/215,frontend/src/services/AuditLog.service.ts:12 — service real; CAVEAT: UI sigue usando PlatformService.audit(),,FE2,1,COMPLETAR MÓDULOS PARTIAL,Service
M46-FE,,,,pushtokens,Crear UI para gestión de push tokens,8,8,MEDIA,COMPLETADO,,,,,,216,https://gitlab.com/underworf1/solmios/-/work_items/216,frontend/src/pages/push-tokens/index.vue:1 (service PushTokens.service.ts:9) — pagina funcional,,FE1,1,COMPLETAR MÓDULOS PARTIAL,Frontend
QC-01,,,,Calidad,Code review y merge de partial fixes,8,8,ALTA,PENDIENTE,,,,,,214,https://gitlab.com/underworf1/solmios/-/work_items/214,,,ARQ,1,COMPLETAR MÓDULOS PARTIAL,Review
T-01,,,,Tests,Agregar tests de integración para habitaciones,8,8,MEDIA,COMPLETADO,,,,,,254,https://gitlab.com/underworf1/solmios/-/work_items/254,GitLab #254 cerrado (workflow:implementacion),,QA,2,TEST COVERAGE,habitaciones
T-02,,,,Tests,Agregar tests de integración para huéspedes,8,8,MEDIA,COMPLETADO,,,,,,257,https://gitlab.com/underworf1/solmios/-/work_items/257,GitLab #257 cerrado (workflow:implementacion),,QA,2,TEST COVERAGE,huespedes
