ID,Módulo,Submódulo,Tarea,Responsable,Horas,Prioridad,Estado,Sprint,Semana,GitLab URL
,,,,,,,,,,
=== FASE 0: ESTADO ACTUAL (18 MATURE + 23 DONE + 5 PARTIAL = 46 MÓDULOS) ===,,,,,,,,,
,,,,,,,,,,
=== SPRINT 1 (Semana 1): COMPLETAR MÓDULOS PARTIAL - Frontend faltante ===,,,,,,,,,
M42-FE,payment-requests,Frontend,Crear página dedicada para payment-requests,FE1,16,ALTA,EN_PROGRESO,1,Semana 1,
M43-FE,ai-gerente,Frontend,Crear página frontend para AI Gerente,FE1,20,ALTA,PENDIENTE,1,Semana 1,
M43-SVC,ai-gerente,Service,Crear AiGerente.service.ts en frontend,FE2,8,ALTA,PENDIENTE,1,Semana 1,
M44-FE,marketing,Frontend,Crear página frontend para Marketing,FE1,16,ALTA,PENDIENTE,1,Semana 1,
M44-SVC,marketing,Service,Crear Marketing.service.ts en frontend,FE2,8,ALTA,PENDIENTE,1,Semana 1,
M45-SVC,auditlog,Service,Crear AuditLog.service.ts dedicado (hoy en super-admin),FE2,4,ALTA,PENDIENTE,1,Semana 1,
M46-FE,pushtokens,Frontend,Crear UI para gestión de push tokens,FE1,8,MEDIA,PENDIENTE,1,Semana 1,
QC-01,Calidad,Review,Code review y merge de partial fixes,ARQ,8,ALTA,PENDIENTE,1,Semana 1,
,,,,,,,,,,
=== SPRINT 2 (Semana 2): TEST COVERAGE - Elevar tests de módulos con 1 solo test ===,,,,,,,,,
T-01,Tests,habitaciones,Agregar tests de integración para habitaciones,QA,8,MEDIA,PENDIENTE,2,Semana 2,
T-02,Tests,huespedes,Agregar tests de integración para huéspedes,QA,8,MEDIA,PENDIENTE,2,Semana 2,
T-03,Tests,admin,Agregar tests de panel admin,QA,8,MEDIA,PENDIENTE,2,Semana 2,
T-04,Tests,roles,Agregar tests de roles y permisos,QA,8,ALTA,PENDIENTE,2,Semana 2,
T-05,Tests,dashboard,Agregar tests de dashboard endpoints,QA,4,MEDIA,PENDIENTE,2,Semana 2,
T-06,Tests,staff-auth,Agregar tests de autenticación (login/logout/refresh),QA,12,ALTA,PENDIENTE,2,Semana 2,
T-07,Tests,paquetes,Agregar tests CRUD paquetes,QA,4,BAJA,PENDIENTE,2,Semana 2,
T-08,Tests,gastos,Agregar tests gastos,QA,4,MEDIA,PENDIENTE,2,Semana 2,
T-09,Tests,opiniones,Agregar tests opiniones,QA,4,BAJA,PENDIENTE,2,Semana 2,
T-10,Tests,activos,Agregar tests activos fijos,QA,4,BAJA,PENDIENTE,2,Semana 2,
T-11,Tests,reembolsos,Agregar tests reembolsos,QA,4,MEDIA,PENDIENTE,2,Semana 2,
T-12,Tests,amenities,Agregar tests amenities,QA,4,BAJA,PENDIENTE,2,Semana 2,
,,,,,,,,,,
=== SPRINT 3 (Semana 3): TEST COVERAGE - Módulos con 1 test (parte 2) + Conectores ===,,,,,,,,,
T-13,Tests,reclutamiento,Agregar tests reclutamiento,QA,4,BAJA,PENDIENTE,3,Semana 3,
T-14,Tests,feedback,Agregar tests feedback,QA,4,BAJA,PENDIENTE,3,Semana 3,
T-15,Tests,anuncios,Agregar tests anuncios,QA,4,BAJA,PENDIENTE,3,Semana 3,
T-16,Tests,apikeys,Agregar tests API Keys,QA,4,MEDIA,PENDIENTE,3,Semana 3,
T-17,Tests,pricing,Agregar tests pricing (reglas de precio, temporadas),QA,12,ALTA,PENDIENTE,3,Semana 3,
T-18,Tests,tickets,Agregar tests tickets de soporte,QA,4,BAJA,PENDIENTE,3,Semana 3,
T-19,Tests,grupos,Agregar tests grupos,QA,4,BAJA,PENDIENTE,3,Semana 3,
T-20,Tests,dispositivos,Agregar tests dispositivos,QA,4,BAJA,PENDIENTE,3,Semana 3,
T-21,Tests,bookingengine,Agregar tests booking engine (widget + webhook),QA,12,ALTA,PENDIENTE,3,Semana 3,
T-22,Tests,messages,Agregar tests mensajería,QA,8,MEDIA,PENDIENTE,3,Semana 3,
T-23,Tests,ai-recepcionista,Agregar tests AI recepcionista,QA,12,BAJA,PENDIENTE,3,Semana 3,
TC-01,Tests,Conectores,Agregar tests para conectores reservas-* (6 conectores),FS,16,ALTA,PENDIENTE,3,Semana 3,
,,,,,,,,,,
=== SPRINT 4 (Semana 4): TEST COVERAGE - Conectores + Tests fronend ===,,,,,,,,,
TC-02,Tests,Conectores,Agregar tests conectores financieros (facturas-*, folios-*, payments-*),FS,16,ALTA,PENDIENTE,4,Semana 4,
TC-03,Tests,Conectores,Agregar tests conectores operativos (housekeeping-*, mantenimiento-*),FS,12,MEDIA,PENDIENTE,4,Semana 4,
TC-04,Tests,Conectores,Agregar tests conectores RRHH (attendance-* payroll-*),FS,8,MEDIA,PENDIENTE,4,Semana 4,
TF-01,Tests,Frontend,Agregar tests unitarios a stores Pinia,QA,16,MEDIA,PENDIENTE,4,Semana 4,
TF-02,Tests,Frontend,Agregar tests a servicios frontend (facturas, reservas, auth),QA,16,MEDIA,PENDIENTE,4,Semana 4,
,,,,,,,,,,
=== SPRINT 5 (Semana 5): DEUDA TÉCNICA - ORM + Fiscal ===,,,,,,,,,
DT-01,Deuda,ORM,Auditar todos los modelos ORM vs campos usados en services/DTOs (anti-patrón descarte silencioso),ARQ,16,CRITICA,PENDIENTE,5,Semana 5,
DT-02,Deuda,ORM,Fixear campos faltantes en modelos ORM detectados en auditoría,BE1,16,CRITICA,PENDIENTE,5,Semana 5,
DT-03,Deuda,Fiscal,Cablear fiscal.ts (buildNcf) para que NCF solo se emita si electronic_invoicing.enabled=true,BE1,12,ALTA,PENDIENTE,5,Semana 5,
DT-04,Deuda,Facturas,Agregar guard condicional en borrado de facturas: si NCF emitido o pagada -> solo nota de crédito,BE2,8,ALTA,PENDIENTE,5,Semana 5,
DT-05,Deuda,Reports,Verificar que stats.ts filtre type=invoice (no duplicar ingresos con type=payment),BE2,4,ALTA,PENDIENTE,5,Semana 5,
,,,,,,,,,,
=== SPRINT 6 (Semana 6): DEUDA TÉCNICA - Frontend + Service Worker ===,,,,,,,,,
DT-06,Deuda,Frontend,Reactivar Service Worker (PC-4) con network-first + bypass /api/*,FE1,12,ALTA,PENDIENTE,6,Semana 6,
