ID,Modulo,Madurez,Descripcion,Archivos,Tests,Rutas
M01,reservas,MATURE,"Sistema de reservas completo (30 archivos, 3 tests, 23 rutas)",30,3,23
M02,facturas,MATURE,"Facturación completa (29 archivos, 5 tests, 12 rutas)",29,5,12
M03,empleados,MATURE,"Empleados completo (24 archivos, 4 tests, 59 rutas)",24,4,59
M04,housekeeping,MATURE,"Housekeeping completo (23 archivos, 5 tests, 24 rutas)",23,5,24
M05,reports,MATURE,"Reportes completo (24 archivos, 4 tests, 5 rutas)",24,4,5
M06,payroll,MATURE,"Nómina completa (19 archivos, 5 tests, 17 rutas)",19,5,17
M07,folios,MATURE,"Folios completo (19 archivos, 2 tests, 8 rutas)",19,2,8
M08,payments,MATURE,"Pagos completo (16 archivos, 3 tests, 16 rutas)",16,3,16
M09,canales,MATURE,"Channel Manager completo (17 archivos, 1 test, 18 rutas)",17,1,18
M10,crm,MATURE,"CRM completo (15 archivos, 4 tests, 13 rutas)",15,4,13
M11,usuarios,MATURE,"Usuarios completo (14 archivos, 4 tests, 15 rutas)",14,4,15
M12,mantenimiento,MATURE,"Mantenimiento completo (14 archivos, 1 test, 12 rutas)",14,1,12
M13,cash,MATURE,"Caja completo (13 archivos, 2 tests, 11 rutas)",13,2,11
M14,hoteles,MATURE,"Hoteles completo (13 archivos, 2 tests, 10 rutas)",13,2,10
M15,bookingengine,MATURE,"Booking Engine completo (14 archivos, 1 test, 13 rutas)",14,1,13
M16,attendance,MATURE,"Asistencia completa (12 archivos, 3 tests, 18 rutas)",12,3,18
M17,messages,MATURE,"Mensajería completa (11 archivos, 1 test, 9 rutas)",11,1,9
M18,ai-recepcionista,MATURE,"AI Recepcionista completo (22 archivos, 1 test, 26 rutas)",22,1,26
M19,habitaciones,DONE,"Habitaciones (8 archivos, 1 test, 6 rutas) — faltan usecases",8,1,6
M20,huespedes,DONE,"Huéspedes (8 archivos, 1 test, 5 rutas) — faltan usecases",8,1,5
M21,admin,DONE,"Admin (10 archivos, 1 test, 16 rutas)",10,1,16
M22,ttlock,DONE,"TTLock (11 archivos, 2 tests, 8 rutas)",11,2,8
M23,roles,DONE,"Roles (8 archivos, 1 test, 6 rutas)",8,1,6
M24,dashboard,DONE,"Dashboard (10 archivos, 1 test, 3 rutas)",10,1,3
M25,staff-auth,DONE,"Staff Auth (8 archivos, 1 test, 3 rutas)",8,1,3
M26,paquetes,DONE,"Paquetes (8 archivos, 1 test, 5 rutas)",8,1,5
M27,gastos,DONE,"Gastos (8 archivos, 1 test, 5 rutas)",8,1,5
M28,notificaciones,DONE,"Notificaciones (8 archivos, 1 test, 5 rutas)",8,1,5
M29,opiniones,DONE,"Opiniones (8 archivos, 1 test, 5 rutas)",8,1,5
M30,activos,DONE,"Activos (8 archivos, 1 test, 7 rutas)",8,1,7
M31,capacitacion,DONE,"Capacitación (10 archivos, 2 tests, 10 rutas)",10,2,10
M32,reclutamiento,DONE,"Reclutamiento (8 archivos, 1 test, 9 rutas)",8,1,9
M33,reembolsos,DONE,"Reembolsos (8 archivos, 1 test, 10 rutas)",8,1,10
M34,feedback,DONE,"Feedback (8 archivos, 1 test, 6 rutas)",8,1,6
M35,amenities,DONE,"Amenities (8 archivos, 1 test, 5 rutas)",8,1,5
M36,anuncios,DONE,"Anuncios (8 archivos, 1 test, 5 rutas)",8,1,5
M37,apikeys,DONE,"API Keys (8 archivos, 1 test, 5 rutas)",8,1,5
M38,pricing,DONE,"Pricing (10 archivos, 1 test, 11 rutas)",10,1,11
M39,tickets,DONE,"Tickets (8 archivos, 1 test, 5 rutas)",8,1,5
M40,grupos,DONE,"Grupos (8 archivos, 1 test, 5 rutas)",8,1,5
M41,dispositivos,DONE,"Dispositivos (8 archivos, 1 test, 5 rutas)",8,1,5
M42,payment-requests,PARTIAL,11 archivos/2 tests backend OK - Falta frontend página dedicada,11,2,
M43,ai-gerente,PARTIAL,10 archivos/1 test backend OK - Falta frontend página + servicio,10,1,
M44,marketing,PARTIAL,9 archivos/1 test backend OK - Falta frontend página + servicio,9,1,
M45,auditlog,PARTIAL,8 archivos/1 test backend OK - Falta frontend service dedicado,8,1,
M46,pushtokens,PARTIAL,10 archivos/2 tests backend OK - Falta frontend UI gestión,10,2,
